#####137	traces-2016-04-07-18-32-28.dat.root	carbon
#####138	traces-2016-04-07-19-33-10.dat.root	carbon
#####139	traces-2016-04-07-20-34-56.dat.root	carbon
435	traces-2016-04-28-15-03-11.dat.root	empty
436	traces-2016-04-28-16-04-44.dat.root	empty
437	traces-2016-04-28-17-05-35.dat.root	empty
438	traces-2016-04-28-18-06-17.dat.root	empty
439	traces-2016-04-28-19-07-19.dat.root	empty
440	traces-2016-04-28-20-07-30.dat.root	empty
441	traces-2016-04-28-21-07-28.dat.root	empty
442	traces-2016-04-28-22-13-11.dat.root	deuterium
443	traces-2016-04-28-23-13-03.dat.root	deuterium
444	traces-2016-04-29-00-13-15.dat.root	deuterium
445	traces-2016-04-29-01-13-05.dat.root	deuterium
446	traces-2016-04-29-02-13-04.dat.root	deuterium
447	traces-2016-04-29-03-13-10.dat.root	deuterium
448	traces-2016-04-29-04-16-15.dat.root	deuterium
449	traces-2016-04-29-05-16-04.dat.root	deuterium
450	traces-2016-04-29-06-15-56.dat.root	deuterium
451	traces-2016-04-29-07-16-07.dat.root	deuterium
452	traces-2016-04-29-08-17-07.dat.root	deuterium
453	traces-2016-04-29-09-17-56.dat.root	deuterium
454	traces-2016-04-29-10-19-03.dat.root	deuterium
455	traces-2016-04-29-12-23-10.dat.root	deuterium
456	traces-2016-04-29-13-23-55.dat.root	deuterium
457	traces-2016-04-29-14-24-21.dat.root	deuterium
458	traces-2016-04-29-15-26-35.dat.root	deuterium
459	traces-2016-04-29-16-26-07.dat.root	deuterium
460	traces-2016-04-29-17-27-10.dat.root	deuterium
461	traces-2016-04-29-18-27-21.dat.root	deuterium
462	traces-2016-04-29-19-27-01.dat.root	deuterium
463	traces-2016-04-29-20-32-20.dat.root	deuterium
464	traces-2016-04-29-21-32-15.dat.root	deuterium
#465	traces-2016-05-02-11-45-09.dat.root	bump
#466	traces-2016-05-02-12-45-52.dat.root	bump
#467	traces-2016-05-02-13-46-41.dat.root	bump
#468	traces-2016-05-02-14-47-11.dat.root	bump
#469	traces-2016-05-02-15-48-41.dat.root	bump
470	traces-2016-05-02-16-49-24.dat.root	bump
471	traces-2016-05-02-17-49-58.dat.root	bump
472	traces-2016-05-02-18-51-45.dat.root	bump
473	traces-2016-05-02-19-54-55.dat.root	bump
#474	traces-2016-05-02-20-55-15.dat.root	bump
475	traces-2016-05-03-09-02-05.dat.root	attenuator
476	traces-2016-05-03-10-04-22.dat.root	attenuator
477	traces-2016-05-03-11-06-07.dat.root	attenuator
478	traces-2016-05-03-12-06-47.dat.root	attenuator
479	traces-2016-05-03-13-06-46.dat.root	attenuator
480	traces-2016-05-03-14-06-59.dat.root	attenuator
481	traces-2016-05-03-15-06-54.dat.root	attenuator
482	traces-2016-05-03-16-07-06.dat.root	attenuator
483	traces-2016-05-03-17-07-10.dat.root	attenuator
484	traces-2016-05-03-18-25-07.dat.root	attenuator
485	traces-2016-05-03-19-12-18.dat.root	attenuator
486	traces-2016-05-03-20-12-54.dat.root	attenuator
487	traces-2016-05-03-21-12-19.dat.root	attenuator
488	traces-2016-05-04-09-59-51.dat.root	attenuator
489	traces-2016-05-04-10-59-43.dat.root	attenuator
490	traces-2016-05-04-11-59-51.dat.root	attenuator
491	traces-2016-05-04-12-59-05.dat.root	attenuator
500	traces-2016-05-04-16-23-59.dat.root	molly
501	traces-2016-05-04-16-36-07.dat.root	molly
506	traces-2016-05-04-17-37-41.dat.root	molly
520	traces-2016-05-05-11-16-04.dat.root	molly
521	traces-2016-05-05-11-45-13.dat.root	molly
523	traces-2016-05-05-12-21-36.dat.root	molly
524	traces-2016-05-05-12-52-00.dat.root	molly
525	traces-2016-05-05-13-06-31.dat.root	molly
###
